"""Chapman Kelly is a major force in the dependent eligibility audit services market,"" said Bill Lucia, Chief Executive Officer of HMS."	4	[CEO]
"""In 1937 Beveridge was awarded a Commonwealth Fellowship and went with his first wife, Patricia, and infant son John, to work in the Rockefeller Institute in Princeton, studying swine influenza virus, on which he worked with Richard Shope."	4	[CHILD_OF]
"""Marianne Charlotte, eldest daughter of George Wyndham, of Cromer, wife of the Rev. Cremer Cremer, died Nov. 4, 1842, in her 39th year."""	4	[DATE_OF_DEATH]
"""Reactivity Mafia"" also produced other notable entrepreneurs such as Mike Schroepfer, CTO of Facebook, Aaref Hilaly, Partner at Sequoia, Oltac Unsal, Super Angel, Akash Garg, Co-founder of hi5, Dave Ashton, Founder of SnapCar to name a few."	3	[FOUNDED_BY]
"""Take Me Home, Country Roads"" may be the (unofficial) state song of West Virginia, but City Holding hopes all roads lead to its City National Bank of West Virginia subsidiary, which operates more than 80 branches in the Mountaineer State and in neighboring areas of southern Ohio, eastern Kentucky, and northern Virginia."	2	[SUBSIDIARY_OF]
"""Tene Omarim"" is the name of the settlement used by its residents, the Israeli government considers ""Tene"" the official name as a tribute to David Taneh, the first CEO of the Building and Housing Office."	4	[CEO]
"""The Back Seat of My Car"" is a song written by Paul McCartney and released by him and his wife Linda McCartney as the last track on the 1971 album Ram."	1	[SPOUSE]
(Retired) Michael M. Reyna currently serves as Project Executive of the Financial Information System for California (FI$Cal).	1	[EMPLOYEE_OR_MEMBER_OF]
", is a retired United States Air Force pilot, aeronautical engineer, test pilot, and NASA astronaut, best remembered as the Commander of Apollo 8, the first mission to fly around the Moon, making him, along with crew mates Jim Lovell and Bill Anders, the first of only 24 humans to do so."	1	[EMPLOYEE_OR_MEMBER_OF]
"- Born In Lebanon, I graduated from Saint Joseph University-USJ with a Bachelor Degree in Business Management and then joined ESA Business School where I earned my Master's Degree in International Management in 2006."	2	[PLACE_OF_BIRTH]
"15 years ago, when Yollande moved from her native village in West Africa to Milwaukee, she saw an opportunity to share with her new community an honest experience of her African culture."	4	[PLACE_OF_BIRTH]
"1st Constitution Bancorp is the parent of 1st Constitution Bank, which serves consumers, small businesses, and not-for-profits through more than a dozen branches in Middlesex, Mercer, and Somerset counties in New Jersey."	1	[SUBSIDIARY_OF]
