text,label
"Prior to co-founding Citadel Capital, Mr. El-Khazindar was Executive Director of Investment Banking at EFG Hermes where he advised on landmark M&A and IPO transactions in the region, and where he started his career in 1996.",['EMPLOYEE_OR_MEMBER_OF']
"Jerzy Tomaszewski (October 8, 1930 - November 3, 2014) was a Polish political scientist and historian, born in Radomsko.",['NATIONALITY']
"It was founded in 1982, and is currently led by founder and Artistic Director Kevin Stalheim.",['FOUNDED_BY']
"She was born in Suomussalmi, Finland, but was evacuated to Sweden when she was a child (see Finnish war children).",['PLACE_OF_RESIDENCE']
"Born David Mortlock on 27 August 1953, he grew up in Barking, Essex, UK, later moving to Basildon New Town.",['PLACE_OF_BIRTH']
"He was born and lived in Adana, Adana Vilayet, southern Turkey, until he went away to school in Istanbul, where he studied respectively at Galatasaray High School and Robert College.",['PLACE_OF_RESIDENCE']
Prior to founding frankbishop.org Frank was a Senior Vice President at Adecco and Accountants on Call where he was responsible for creating and running the largest franchise recruiting office in the United States.,['EMPLOYEE_OR_MEMBER_OF']
"Guido Frederico João Pabst (born 19 September 1914 in Porto Alegre, died 27 April 1980 in Rio de Janeiro) was a Brazilian botanist.",['DATE_OF_DEATH']
"In 2013, Mike and his Son, Matt, formed DoorMax Garage Door Services to bring their years of knowledge and expertise to help homeowners with a satisfaction guarantee and Lifetime Warranty for the largest moving and most visible aspect of their homes.",['CHILD_OF']
"Andriy Vitoshynskyi (Ukrainian: Андрій Вітошинський; born 21 February 1981 in Ukrainian SSR, Soviet Union) is a Ukrainian footballer who has played for Ukrainian Premier League club FC Zakarpattia Uzhhorod.",['NATIONALITY']
"Maurice Guy, better known as Guy Lux (21 June 1919 in Paris - 13 June 2003 in Neuilly-sur-Seine) was a French game show host and producer perhaps best known for his 1961 creation of the game show Intervilles (the basis for the British program It's A Knockout).",['NATIONALITY']
"Parry Gripp (born September 22, 1967 in Santa Barbara, California) is an Emmy nominated singer-songwriter as well as lead vocalist and guitarist for the pop punk band Nerf Herder.",['NATIONALITY']
"Born in the small town of Weaver, Minnesota, he received his B.S. from Hamline University in St. Paul, MN and his Masters and Ph.D. from the University of Iowa in 1933; his dissertation advisor was Edward Chittenden.",['EDUCATED_AT']
"Coslett Herbert Waddell (Rev.) (March 6, 1858 at Drumcro, County Antrim – June 8, 1919) was an Irish priest, (Church of Ireland), and botanist.",['NATIONALITY']
"Founded in 1966 by Pierre Bellon in Marseilles, France, Sodexo is now the worldwide leader in Quality of Life services.",['DATE_FOUNDED']
"Geoffrey Raoul de Havilland Jr., OBE (18 February 1910 – 27 September 1946) was a British test pilot and the son of the English aviation pioneer and aircraft designer of the same name, Geoffrey de Havilland.",['NATIONALITY']
"He was the Chairman of Tripura Pradesh Congress Committee SC Department from 2004 till he resigned from his post and joined All India Trinamool Congress in June, 2016 and was appointed Vice-President of the Tripura state unit of All India Trinamool Congress.",['POLITICAL_AFFILIATION']
"Al Lee (born June 8, 1893) was a Boston-born American actor, producer and manager in vaudeville and silent films.",['NATIONALITY']
"Mohamed Kohail born 1985 (age 30–31) and Sultan Kohail born 1991 (age 24–25) were born in Saudi Arabia and lived there 16 years before moving to Montreal, Canada where they got citizenship and the family spent 6 years (2000–2006).","['PLACE_OF_RESIDENCE', 'PLACE_OF_BIRTH']"
"After completing his undergraduate studies at Kyoto University, he received his Ph.D. in 1960 from Harvard while under the direction of Oscar Zariski.",['EDUCATED_AT']
"William Ambrose Bebb (4 July 1894 – 27 April 1955) was a Welsh language critic, author and politician.",['DATE_OF_BIRTH']
"Nahid Kalhori (Persian: ناهید کلهری, born July 20, 1986) is an Iranian jailed dissident, dissident blogger and student activist.",['DATE_OF_BIRTH']
"Martin Lundström (born May 30, 1918) is a former Swedish cross-country skier who competed in the late 1940s and early 1950s.",['NATIONALITY']
"A member of the Liberal Democratic party (LDP), he served twice as education minister before rising to lead the party after the resignations of Noburu Takeshita and Sosuke Uno as a result of financial and other scandals.",['POLITICAL_AFFILIATION']
"Since 1946, Central Glass Company, which was founded by John Dale and Stanley Gordon, has been a leader in providing quality glass repair, replacement, and contract glazing installations.",['FOUNDED_BY']
"In 1992, her son, Paul Ilyinsky, who had become an American citizen, served in the U.S. Marine Corps, and was a three-time Mayor of Palm Beach, Florida, technically succeeded as head of the ducal and princely House of Holstein-Gottorp.",['CHILD_OF']
"Founded in 1981 by our Chairman David Lenz, North Central Group has become one of America's foremost developers, owners, and operators of focused-service and extended-stay hotels.",['EMPLOYEE_OR_MEMBER_OF']
