text,label
"François-Henri Clicquot, at that time the leading organ-builder in France, was appointed to undertake the work, but died in Pentecost 1790 before completing the work.",['PLACE_OF_DEATH']
"Jerzy Tomaszewski (October 8, 1930 - November 3, 2014) was a Polish political scientist and historian, born in Radomsko.",['PLACE_OF_BIRTH']
"John Phillips, born in 1814, was a native of Wiltshire England who came to the U.S. in 1834 and settled in Florida.","['PLACE_OF_RESIDENCE', 'DATE_OF_BIRTH']"
"Yoshiyuki Sankai is a Japanese billionaire businessman and academic, the founder, president and CEO of the cyborg-robot maker Cyberdyne; and professor of the Graduate School of Systems & Information Engineering at the University of Tsukuba.",['NATIONALITY']
"It was founded in 1982, and is currently led by founder and Artistic Director Kevin Stalheim.",['DATE_FOUNDED']
"Christopher J. Williams is Chairman, CEO and founder of The Williams Capital Group, L.P. and Williams Capital Management, LLC.",['FOUNDED_BY']
"Born David Mortlock on 27 August 1953, he grew up in Barking, Essex, UK, later moving to Basildon New Town.",['DATE_OF_BIRTH']
He was the founder and chairman of the Cultural Found of Armenia (1986–1989) and an Honored Citizen of Yerevan.,['DATE_FOUNDED']
"Andrzej Kajetan Wróblewski (Polish pronunciation: Vrooblevski, born 1933 in Warsaw) – Polish physicist, ordinary professor doctor habilitatus (since 1971), dean of the Physics Department Warsaw University (1986–1989), Rector of the Warsaw University (1989–1993), President of the Academic Council of the Institute for the History of Science, Polish Academy of Sciences.","['EMPLOYEE_OR_MEMBER_OF', 'NATIONALITY']"
"He was born and lived in Adana, Adana Vilayet, southern Turkey, until he went away to school in Istanbul, where he studied respectively at Galatasaray High School and Robert College.","['EDUCATED_AT', 'PLACE_OF_BIRTH']"
"In 2013, Mike and his Son, Matt, formed DoorMax Garage Door Services to bring their years of knowledge and expertise to help homeowners with a satisfaction guarantee and Lifetime Warranty for the largest moving and most visible aspect of their homes.",['FOUNDED_BY']
"Andriy Vitoshynskyi (Ukrainian: Андрій Вітошинський; born 21 February 1981 in Ukrainian SSR, Soviet Union) is a Ukrainian footballer who has played for Ukrainian Premier League club FC Zakarpattia Uzhhorod.",['PLACE_OF_BIRTH']
"Maurice Guy, better known as Guy Lux (21 June 1919 in Paris - 13 June 2003 in Neuilly-sur-Seine) was a French game show host and producer perhaps best known for his 1961 creation of the game show Intervilles (the basis for the British program It's A Knockout).",['DATE_OF_BIRTH']
"Coslett Herbert Waddell (Rev.) (March 6, 1858 at Drumcro, County Antrim – June 8, 1919) was an Irish priest, (Church of Ireland), and botanist.",['DATE_OF_BIRTH']
"Anatoli Ilych Vasiliev (Russian: Анато́лий Ильи́ч Васи́льев; 18 March 1917, Petrograd (former Saint Petersburg), Russian Empire – June 4, 1994, Saint Petersburg, Russian Federation) was a Russian and Soviet realist painter, who lived and worked in Leningrad.",['PLACE_OF_RESIDENCE']
"Vic Roschkov Sr. has two sons: Vic, is also a notable artist living in London, Ontario and Tom, a musician who currently lives in Edmonton",['CHILD_OF']
"Geoffrey Raoul de Havilland Jr., OBE (18 February 1910 – 27 September 1946) was a British test pilot and the son of the English aviation pioneer and aircraft designer of the same name, Geoffrey de Havilland.",['CHILD_OF']
"Mohamed Kohail born 1985 (age 30–31) and Sultan Kohail born 1991 (age 24–25) were born in Saudi Arabia and lived there 16 years before moving to Montreal, Canada where they got citizenship and the family spent 6 years (2000–2006).",['DATE_OF_BIRTH']
"She was born as Virginia Louise Noonan, one of 11 children born to a judge in Bayonne, New Jersey.",['PLACE_OF_BIRTH']
"After completing his undergraduate studies at Kyoto University, he received his Ph.D. in 1960 from Harvard while under the direction of Oscar Zariski.",['EMPLOYEE_OR_MEMBER_OF']
"Nora Lustig (born January 13, 1951 in Buenos Aires, Argentina) is the Samuel Z. Stone Professor of Latin American Economics in the Department of Economics at Tulane University and a non-resident Fellow at the Center for Global Development and the Inter-American Dialogue.",['EMPLOYEE_OR_MEMBER_OF']
"He was born on April 23, 1908 in Junee, Australia and died August 14, 2006.",['DATE_OF_BIRTH']
"Jessica’s Law was named after Jessica Lunsford, the nine-year-old girl who was abducted, raped, and murdered in Florida in 2005 by a twice-convicted sex offender.",['PLACE_OF_DEATH']
"Carroll T. Cooney, Jr., was a writer of popular children's books and the president and chairman of the Vocaline Company in the 1950s and 1960s.",['CEO']
"Martin Lundström (born May 30, 1918) is a former Swedish cross-country skier who competed in the late 1940s and early 1950s.",['DATE_OF_BIRTH']
"A member of the Liberal Democratic party (LDP), he served twice as education minister before rising to lead the party after the resignations of Noburu Takeshita and Sosuke Uno as a result of financial and other scandals.",['EMPLOYEE_OR_MEMBER_OF']
"Since 1946, Central Glass Company, which was founded by John Dale and Stanley Gordon, has been a leader in providing quality glass repair, replacement, and contract glazing installations.",['DATE_FOUNDED']
"In 1992, her son, Paul Ilyinsky, who had become an American citizen, served in the U.S. Marine Corps, and was a three-time Mayor of Palm Beach, Florida, technically succeeded as head of the ducal and princely House of Holstein-Gottorp.",['NATIONALITY']
"Founded in 1981 by our Chairman David Lenz, North Central Group has become one of America's foremost developers, owners, and operators of focused-service and extended-stay hotels.",['DATE_FOUNDED']
"When she was in grade school, her parents acquired Japanese citizenship, and her nationality became Japanese at that time.",['NATIONALITY']
"Based in Lewisville, TX, HomeSearch.com Realty Inc. is a wholly owned subsidiary of SolutionStar Realty Services.",['HEADQUARTERS']
"Tony Pierce-Roberts, BSC (born 1945 in Birkenhead, England) is a British cinematographer.",['NATIONALITY']
"Harris Jacob Bixler (September 16, 1870 – March 29, 1941) was a Republican member of the U.S. House of Representatives from Pennsylvania.",['DATE_OF_BIRTH']
"Born and raised in El Salvador, Central America, Juan Lopezdabdoub moved to Canada with his family in 1991 leaving a Salvadorian civil war behind.",['PLACE_OF_BIRTH']
"Mr. Ghazanfar Ali Sanpal (resident of Moza Ranjit Kot) matriculated from the high school and later on received his MSc degree in Computer Science in 2003 from Quad-e-Azam University (QAU), Islamabad (Pakistan).",['EDUCATED_AT']
"Hédi Annabi (4 September 1943 – 12 January 2010) was a Tunisian diplomat and Special Representative of the United Nations Secretary-General, Head of the UN Stabilization Mission in Haiti (MINUSTAH).","['NATIONALITY', 'DATE_OF_BIRTH']"
