text,KN_label,My_label
The Polish physician Ludwik Rajchman is widely regarded as the founder of UNICEF and served as its first chairman from 1946.,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Prior to co-founding Citadel Capital, Mr. El-Khazindar was Executive Director of Investment Banking at EFG Hermes where he advised on landmark M&A and IPO transactions in the region, and where he started his career in 1996.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Captain Byron Curtis Weston (April 9, 1832 - November 8, 1898) was a native of Massachusetts who founded the Weston Paper Company in 1863 (which ceased to exist following its sale in 2008) and served as the 32nd Lieutenant Governor of Massachusetts from 1880 to 1883.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
"Founded by George Gough Booth with his two brothers, Booth Newspapers was sold to Advance Publications (a Samuel I. Newhouse property), which purchased it in 1976 for $305 million, a record at the time.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In 1990, George and Nancy's son Dan started working full time at the store.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"François-Henri Clicquot, at that time the leading organ-builder in France, was appointed to undertake the work, but died in Pentecost 1790 before completing the work.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Originally from Leicestershire, she came into prominence after winning Busk Idol, a 2005 nationwide singing competition organised by BBC Radio 5 Live.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"He was born in Bay Shore, New York and raised on Long Island.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"Of Gaselee's three daughters (Ursula, Julitta and Stephana), two are still alive, whilst Julitta died in December 2012.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
He died in Sachsenhausen concentration camp.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
Our school was founded in 1978 by a group of parents who wanted to create this learning environment for our community.,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"I Have served Kern as a site lead for Bank of America in Kansas City, I was a Tech Support Specialist but I have recently applied for a Trainer position.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Romuald Hazoumè (born 1962 in Porto Novo) is an artist from the Republic of Bénin, best known for his work La Bouche du Roi, a reworking of the 1789 image of the slave ship Brookes.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
"In 1955, Ron and Lucille Engel moved from Waterloo Iowa and became owners of The Foursome.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"Three years later, he founded Gorman Personnel Consultants Inc., a human resources company dedicated to the placement of insurance professionals.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Fifth Third Bancorp is a diversified financial services company headquartered in Cincinnati, Ohio.","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Jerzy Tomaszewski (October 8, 1930 - November 3, 2014) was a Polish political scientist and historian, born in Radomsko.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
"John Phillips, born in 1814, was a native of Wiltshire England who came to the U.S. in 1834 and settled in Florida.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
"His first pastorate was in North Carolina, and he pastored in North and South Carolina until 1978 when he moved to Houston, Texas.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"I am currently a student at the University of South Florida studying for a degree in mass communications, with a focus on journalism.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"In 2012, she led the launch of a new wholly owned subsidiary, NEXT Electric Inc., in an effort to capture a more competitive position for CC&N and to expand the current customer base for both the existing CC&N business unit and the new enterprise.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
She died at Royal Canberra Hospital in 1980 of chronic asthma and was buried in Canberra Cemetery.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]"
"We are a wholly owned subsidiary of our parent company, Zacks Investment Research, one of the largest providers of independent research in the U.S.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFR operates as a subsidiary of Vivendi.,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"He is the author of the book English Bulgaria or Switzerland in the Balkans (2004), the novel Island of Mists (2006), co-author of the book ""The European Supergrid"" and of many comment and opinion articles.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Code Blue Computing, Inc. headquartered in Broomfield, Colorado is the leading IT provider to the Denver metro area.","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Yoshiyuki Sankai is a Japanese billionaire businessman and academic, the founder, president and CEO of the cyborg-robot maker Cyberdyne; and professor of the Graduate School of Systems & Information Engineering at the University of Tsukuba.","[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"J. Kevin McMahon is President and CEO of the Pittsburgh Cultural Trust, a $50 million private, nonprofit agency in Pittsburgh, Pennsylvania.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Alex Epstein (born 1980) is an American author, energy theorist and industrial policy expert.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
"It was founded in 1982, and is currently led by founder and Artistic Director Kevin Stalheim.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Heather Dawes Fitzenhagen (born October 8, 1960) is a Republican member of the Florida House of Representatives, representing the 78th District, which includes the city of Fort Myers in central Lee County, since 2012.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Mohamed Ali Riad (13 May 1927 – 14 August 1958) was an Egyptian fencer.,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
She and her husband Oskar Vogt are known for their extensive cytoarchetectonic studies on the brain.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
He was the son of a Quaker wine merchant and educated at the academies at Hoxton and Warrington before studying at Edinburgh University in the early 1770s.,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Christopher J. Williams is Chairman, CEO and founder of The Williams Capital Group, L.P. and Williams Capital Management, LLC.","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Most recently, she was co-founder and president of Open Road Events, a full service event marketing agency which helped produce Harley’s 100th Anniversary Celebration, as well as RiverSplash and Bastille Days.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"She was born in Suomussalmi, Finland, but was evacuated to Sweden when she was a child (see Finnish war children).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"Born David Mortlock on 27 August 1953, he grew up in Barking, Essex, UK, later moving to Basildon New Town.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
He was the founder and chairman of the Cultural Found of Armenia (1986–1989) and an Honored Citizen of Yerevan.,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Subsequently, he commanded Destroyer Squadron 4 and Naval Training Station, San Diego, California before his death 24 February 1944 in San Diego Naval Hospital.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"After settling in America, Carl became an apprentice who attended technical school at night and on the weekends.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"Andrzej Kajetan Wróblewski (Polish pronunciation: Vrooblevski, born 1933 in Warsaw) – Polish physicist, ordinary professor doctor habilitatus (since 1971), dean of the Physics Department Warsaw University (1986–1989), Rector of the Warsaw University (1989–1993), President of the Academic Council of the Institute for the History of Science, Polish Academy of Sciences.","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
"In relation to this, Viktor Korshikov, a musical critic and writer and an author of various articles on the history of opera, committed suicide.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
I also assist with the creation of our monthly lifestyle magazine OM Plymouth and work alongside our parent company OM Media Group.,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"He was born and lived in Adana, Adana Vilayet, southern Turkey, until he went away to school in Istanbul, where he studied respectively at Galatasaray High School and Robert College.","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"After a trip to New Zealand, where he met and married Annie Elizabeth Meek in Oamaru on 2 January 1901, Ramsay established a factory in Carlton in partnership with Hamilton McKellar.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"In 1928 he left the Communist Party and rejoined the Labour Party, but he soon joined the communists again and headed the ballot in Akershus for the 1930 parliamentary election.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"He wrote articles for the La Gazette in Trois-Rivières, Le Populaire in Montreal and La Gazette in Quebec City.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Prior to founding frankbishop.org Frank was a Senior Vice President at Adecco and Accountants on Call where he was responsible for creating and running the largest franchise recruiting office in the United States.,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Turner Sports (TS) is the division of Turner Broadcasting System (a subsidiary of AT&T) responsible for sports broadcasts on Turner channels including TBS, TNT, TruTV, and CNN en Español (for occasional Spanish language simulcasts), and for operating the digital media outlets NCAA.com, NBA.com, PGATOUR.com and PGA.com.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"She grew up in Oregon, then in Bennington, Vermont, and Cambridge, Massachusetts.","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"Herkner was born in Liberec (German: Reichenberg), Bohemia and died in Berlin, Germany.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
Ibn Amira was Qadi of Mallorca and worked for the Almohad sultan in Valencia and Sevilla and moved to Morocco in 1239/40 (after the fall of Valencia in 1238) and continued to work for the sultan there.,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"Marianne Wyndham married, in 1829, the Rev. Cremer Cremer, rector of Felbrigg and Melton.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Working with Harold Eugene Edgerton of MIT, Mili was a pioneer in the use of stroboscopic instruments to capture a sequence of actions in one photograph.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Jack St. Clair Kilby (November 8, 1923 – June 20, 2005) was an American electrical engineer who took part (along with Robert Noyce) in the realization of the first integrated circuit while working at Texas Instruments (TI) in 1958.","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"On my return to South Africa in 2003, I joined ForwardSlash, an international online gaming company for 4 years where I was Head of Finance, serving on Exco.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Dr. Rheam and her husbund, Don Witt, have two beautiful children, Daniella and Douglas.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Guido Frederico João Pabst (born 19 September 1914 in Porto Alegre, died 27 April 1980 in Rio de Janeiro) was a Brazilian botanist.","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"According to the same agreement, Sigismund was supposed to support Francis' efforts at reconquering Milan to which Sigismund had some right through his earlier marriage with Bona Sforza.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
He was a member of the Progressive Party of Canada and joined the Ginger Group of radical MPs.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"The city was founded by Ptolemy Philadelphus and named for Arsinoe II of Egypt, his wife and sister.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"In 2013, Mike and his Son, Matt, formed DoorMax Garage Door Services to bring their years of knowledge and expertise to help homeowners with a satisfaction guarantee and Lifetime Warranty for the largest moving and most visible aspect of their homes.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Andriy Vitoshynskyi (Ukrainian: Андрій Вітошинський; born 21 February 1981 in Ukrainian SSR, Soviet Union) is a Ukrainian footballer who has played for Ukrainian Premier League club FC Zakarpattia Uzhhorod.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Donsker also served as chair of the Board of Foreign Scholarships, a U.S. government panel responsible for student exchange programs, after being appointed by presidents Ford and Carter.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"We are a full service glass and auto glass repair and replacement company based in Brockton, Massachusetts.","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Maurice Guy, better known as Guy Lux (21 June 1919 in Paris - 13 June 2003 in Neuilly-sur-Seine) was a French game show host and producer perhaps best known for his 1961 creation of the game show Intervilles (the basis for the British program It's A Knockout).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Redwood Travel started in 1941 in Downtown San Rafael and was in the same Fourth St. location until our move to Fifth St. in 2002.,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Since 1990, Tomaszewski has been employed in the Department of History at Warsaw University, where he worked on history of Jews in Poland.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Parry Gripp (born September 22, 1967 in Santa Barbara, California) is an Emmy nominated singer-songwriter as well as lead vocalist and guitarist for the pop punk band Nerf Herder.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
Sikorski attended Western Michigan University and obtained a degree in criminology.,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Born in the small town of Weaver, Minnesota, he received his B.S. from Hamline University in St. Paul, MN and his Masters and Ph.D. from the University of Iowa in 1933; his dissertation advisor was Edward Chittenden.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"Before that he was Chief executive officer (CEO) of Xobni, a company that Yahoo! bought in July 2013.","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"He worked for Columbia University, the University of Chicago, Encyclopædia Britannica, and Adler's own Institute for Philosophical Research.","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Coslett Herbert Waddell (Rev.) (March 6, 1858 at Drumcro, County Antrim – June 8, 1919) was an Irish priest, (Church of Ireland), and botanist.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
The El Alami Group is a group founded by Abdelaziz El Alami Hassani (headquartered in Tangier).,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Juan Orozco (born 14 April 1937) is a Spanish luthier and guitar impresario, who lived in New York from 1965 to 1995, where he had a famous guitar shop at 156, 56th Street in the 1970s to 1990s.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"MAP, founded in 1989, focuses primarily on the acquisition and management of natural gas royalty interests in the onshore United States.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Signature Theatre Company, founded in 1991 by James Houghton, exists to honor and celebrate the playwright.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"An imprint of Interscope Geffen A&M Records, its parent company is Universal Music Group, a subsidiary of Vivendi SA.","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
