text,label
The Polish physician Ludwik Rajchman is widely regarded as the founder of UNICEF and served as its first chairman from 1946.,['FOUNDED_BY']
"Prior to co-founding Citadel Capital, Mr. El-Khazindar was Executive Director of Investment Banking at EFG Hermes where he advised on landmark M&A and IPO transactions in the region, and where he started his career in 1996.",['FOUNDED_BY']
"Captain Byron Curtis Weston (April 9, 1832 - November 8, 1898) was a native of Massachusetts who founded the Weston Paper Company in 1863 (which ceased to exist following its sale in 2008) and served as the 32nd Lieutenant Governor of Massachusetts from 1880 to 1883.",['DATE_OF_BIRTH']
"Founded by George Gough Booth with his two brothers, Booth Newspapers was sold to Advance Publications (a Samuel I. Newhouse property), which purchased it in 1976 for $305 million, a record at the time.",['FOUNDED_BY']
"In 1990, George and Nancy's son Dan started working full time at the store.",['CHILD_OF']
"François-Henri Clicquot, at that time the leading organ-builder in France, was appointed to undertake the work, but died in Pentecost 1790 before completing the work.",['DATE_OF_DEATH']
"Originally from Leicestershire, she came into prominence after winning Busk Idol, a 2005 nationwide singing competition organised by BBC Radio 5 Live.",['PLACE_OF_BIRTH']
"He was born in Bay Shore, New York and raised on Long Island.","['PLACE_OF_RESIDENCE', 'PLACE_OF_BIRTH']"
"Of Gaselee's three daughters (Ursula, Julitta and Stephana), two are still alive, whilst Julitta died in December 2012.",['DATE_OF_DEATH']
He died in Sachsenhausen concentration camp.,['PLACE_OF_DEATH']
Our school was founded in 1978 by a group of parents who wanted to create this learning environment for our community.,['DATE_FOUNDED']
"I Have served Kern as a site lead for Bank of America in Kansas City, I was a Tech Support Specialist but I have recently applied for a Trainer position.",['EMPLOYEE_OR_MEMBER_OF']
"Romuald Hazoumè (born 1962 in Porto Novo) is an artist from the Republic of Bénin, best known for his work La Bouche du Roi, a reworking of the 1789 image of the slave ship Brookes.","['PLACE_OF_BIRTH', 'DATE_OF_BIRTH']"
"In 1955, Ron and Lucille Engel moved from Waterloo Iowa and became owners of The Foursome.",['PLACE_OF_RESIDENCE']
"Three years later, he founded Gorman Personnel Consultants Inc., a human resources company dedicated to the placement of insurance professionals.",['FOUNDED_BY']
"Fifth Third Bancorp is a diversified financial services company headquartered in Cincinnati, Ohio.",['HEADQUARTERS']
"Jerzy Tomaszewski (October 8, 1930 - November 3, 2014) was a Polish political scientist and historian, born in Radomsko.",['DATE_OF_BIRTH']
"John Phillips, born in 1814, was a native of Wiltshire England who came to the U.S. in 1834 and settled in Florida.",['PLACE_OF_BIRTH']
"His first pastorate was in North Carolina, and he pastored in North and South Carolina until 1978 when he moved to Houston, Texas.",['PLACE_OF_RESIDENCE']
"I am currently a student at the University of South Florida studying for a degree in mass communications, with a focus on journalism.",['EDUCATED_AT']
"In 2012, she led the launch of a new wholly owned subsidiary, NEXT Electric Inc., in an effort to capture a more competitive position for CC&N and to expand the current customer base for both the existing CC&N business unit and the new enterprise.",['SUBSIDIARY_OF']
She died at Royal Canberra Hospital in 1980 of chronic asthma and was buried in Canberra Cemetery.,['DATE_OF_DEATH']
"We are a wholly owned subsidiary of our parent company, Zacks Investment Research, one of the largest providers of independent research in the U.S.",['SUBSIDIARY_OF']
SFR operates as a subsidiary of Vivendi.,['SUBSIDIARY_OF']
"He is the author of the book English Bulgaria or Switzerland in the Balkans (2004), the novel Island of Mists (2006), co-author of the book ""The European Supergrid"" and of many comment and opinion articles.",['AUTHOR']
"Code Blue Computing, Inc. headquartered in Broomfield, Colorado is the leading IT provider to the Denver metro area.",['HEADQUARTERS']
"Yoshiyuki Sankai is a Japanese billionaire businessman and academic, the founder, president and CEO of the cyborg-robot maker Cyberdyne; and professor of the Graduate School of Systems & Information Engineering at the University of Tsukuba.","['FOUNDED_BY', 'CEO']"
"J. Kevin McMahon is President and CEO of the Pittsburgh Cultural Trust, a $50 million private, nonprofit agency in Pittsburgh, Pennsylvania.",['CEO']
"Alex Epstein (born 1980) is an American author, energy theorist and industrial policy expert.","['NATIONALITY', 'DATE_OF_BIRTH', 'AUTHOR']"
"Heather Dawes Fitzenhagen (born October 8, 1960) is a Republican member of the Florida House of Representatives, representing the 78th District, which includes the city of Fort Myers in central Lee County, since 2012.",['POLITICAL_AFFILIATION']
Mohamed Ali Riad (13 May 1927 – 14 August 1958) was an Egyptian fencer.,['NATIONALITY']
She and her husband Oskar Vogt are known for their extensive cytoarchetectonic studies on the brain.,['SPOUSE']
He was the son of a Quaker wine merchant and educated at the academies at Hoxton and Warrington before studying at Edinburgh University in the early 1770s.,['EDUCATED_AT']
"Christopher J. Williams is Chairman, CEO and founder of The Williams Capital Group, L.P. and Williams Capital Management, LLC.",['CEO']
